formula,Tc,tc_source,dataset,pressure_gpa,lambda,wlog,debye_temp,dos_ef
La2Y,8.994,dft,jarvis_alex,,1.3567005636004048,79.51472741880065,175.79559326171875,5.735777
Y,2.711,dft,jarvis_alex,,0.5700965151811734,135.76953449935417,234.0825653076172,1.7277409
BiPbTl,4.946,dft,jarvis_alex,,1.3661292113015595,42.47150235597762,109.7270278930664,1.2083322
HfReTi2,8.564,dft,jarvis_alex,,0.7739324900687792,187.4630543469804,293.7525329589844,4.4096026
CdHNbTi2,6.898,dft,jarvis_alex,,0.7312150140386131,171.03464742469873,351.4224548339844,5.1396346
MoRhTc2,7.343,dft,jarvis_alex,,0.6769504586053688,222.5193421609125,480.3486633300781,3.9522998
Re3Zr4,1.53,dft,jarvis_alex,,0.4625195173982885,171.46999093360037,268.571533203125,6.9535246
NiRu3Y2,2.555,dft,jarvis_alex,,0.5146950629739777,183.84254660667705,284.0895690917969,3.4138846
HfSc,5.911,dft,jarvis_alex,,0.7302807945836446,147.7297579960334,270.9408569335937,3.0972426
TaV2W,6.42,dft,jarvis_alex,,0.66440593727635,203.2532239483848,326.5044250488281,5.227932
PtTc2V,10.24,dft,jarvis_alex,,0.8452764599285006,186.74547783589625,440.2878112792969,2.4226732
Lu4,1.985,dft,jarvis_alex,,0.5700621186740045,99.368519248998,193.28990173339844,6.702997
YZr3,4.685,dft,jarvis_alex,,0.6662005521296235,147.74390784234427,263.3595275878906,5.267904
HMoRu2W,7.588,dft,jarvis_alex,,0.6939716655458704,213.99294016447115,457.4947814941406,3.8749807
Nb2ReZr,5.689,dft,jarvis_alex,,0.6402894411434968,199.9525175384144,318.8847961425781,4.463565
HMo2PtTa,6.864,dft,jarvis_alex,,0.7131303146434664,180.76800302230663,375.4237365722656,5.556279
AgZr5,6.551,dft,jarvis_alex,,0.7664785664328775,146.73618779056267,263.0242004394531,7.6134243
Os3Ta,7.706,dft,jarvis_alex,,0.7823079720598012,165.65146092742478,386.5912170410156,4.212761
Hf2Zr2,4.566,dft,jarvis_alex,,0.6695077452360791,141.97329594000868,245.98638916015625,2.8269093
MoTa2Zr,7.269,dft,jarvis_alex,,0.7701144888936161,160.95028861004087,318.5338439941406,5.6434727
ScTi2W,12.067,dft,jarvis_alex,,1.1586709635771884,128.56000041209353,361.083984375,6.2596703
LuOs4Y,9.135,dft,jarvis_alex,,0.9356149342494432,138.53662095890087,233.68499755859372,5.6232615
IrMoTc2,8.357,dft,jarvis_alex,,0.7192625502839666,217.63199022796417,475.6164245605469,4.025819
CNb2O,0.244,dft,jarvis_alex,,0.3125132844091647,339.9172905575108,558.9464111328125,2.387028
MgZr4,8.428,dft,jarvis_alex,,0.9074602599377318,134.33038724095442,297.6875305175781,6.603939
Mo2Ti2,9.399,dft,jarvis_alex,,0.7990050189779893,191.7203206090344,403.2824096679688,4.5131235
HfZr3,11.825,dft,jarvis_alex,,1.1207253454660244,134.00088299429004,249.6566162109375,6.602664
Hf2ScZr,10.251,dft,jarvis_alex,,1.0239284889553917,133.2429008469318,260.9346618652344,5.718641
Ru2Tc2,3.887,dft,jarvis_alex,,0.5192957958728336,270.7870639834492,537.1989135742188,4.3825974
LaLu3,4.83,dft,jarvis_alex,,0.8281369939013943,92.08900048339142,176.94142150878906,7.4277515
MoNbTaTi,11.677,dft,jarvis_alex,,0.9160574006906445,183.0102223040272,325.50299072265625,6.9905224
HgOTi2Zr,8.219,dft,jarvis_alex,,0.8498295351628417,146.924936244233,363.5192565917969,4.834472
ReTc3,15.028,dft,jarvis_alex,,1.014822269849634,199.18810675646407,459.7947692871094,4.969525
Be4IrTi,1.605,dft,jarvis_alex,,0.4037975546406558,356.2196390724177,656.9005737304688,2.7484436
Nb2TcZr,2.565,dft,jarvis_alex,,0.4983613103977736,209.4009963024803,353.5923156738281,3.8576245
La3Sc,8.622,dft,jarvis_alex,,1.193907993453877,89.40022996479256,161.4377899169922,6.4026327
ReTiV2,3.613,dft,jarvis_alex,,0.5083055236972858,272.7867174118497,418.7342834472656,5.0779843
Cu2Nb3,2.013,dft,jarvis_alex,,0.4892437997436695,176.853687399346,326.97772216796875,3.9769485
InNbZr2,8.49,dft,jarvis_alex,,0.8955353863294353,138.473088405407,265.69647216796875,4.59108
HLu3Y,0.94,dft,jarvis_alex,,0.4369046735780248,137.5520261716105,259.18414306640625,4.305173
Cr2TiW,0.927,dft,jarvis_alex,,0.3829199252303841,281.7747159119376,430.203125,5.0507784
HfNb2Ta,19.002,dft,jarvis_alex,,1.9524897653190751,113.77627308739088,253.8090362548828,7.554894
Mo2OsRu,10.755,dft,jarvis_alex,,0.8437797427969693,197.5665431295413,441.536865234375,5.227298
ScYZr,6.757,dft,jarvis_alex,,0.7801622521265161,145.70152795591562,280.2626037597656,3.536994
HHf3Pb,7.252,dft,jarvis_alex,,1.0517525155272478,88.8888490924323,279.7630310058594,6.2943077
Lu3Y,2.133,dft,jarvis_alex,,0.5589540991203289,113.98492263826198,195.29640197753903,6.024511
IrNbZr2,12.458,dft,jarvis_alex,,1.16750262922945,132.74521709987607,291.19610595703125,5.926598
IrMoRu2,5.398,dft,jarvis_alex,,0.600424159727849,229.57779992536004,462.0745849609375,3.5080202
AuH4K2,29.766,dft,jarvis_alex,,1.6843426224202562,198.96052614973053,209.4867401123047,2.2203257
La2LuSc,4.551,dft,jarvis_alex,,0.7752573985299971,99.30306417532115,180.55789184570312,5.441228
Hf2Zr,11.053,dft,jarvis_alex,,1.155977595343624,120.02602942758185,236.17991638183597,4.662643
CrNbTa2,5.077,dft,jarvis_alex,,0.6261816311536839,189.72591416628384,313.0240783691406,5.4466105
Hf2NbZn,7.333,dft,jarvis_alex,,0.8179382716052338,142.8670636380936,263.6789245605469,4.6281013
Nb2ReTi,3.815,dft,jarvis_alex,,0.5387741372095413,231.79269936301665,356.1927795410156,4.7780814
Ru3V,13.292,dft,jarvis_alex,,0.8916198549880934,220.1090709840108,484.3776245117188,4.661984
C4ScTaTi2,0.012,dft,jarvis_alex,,0.2390589945226343,444.2361973453993,634.2679443359375,2.4207907
AuHTiZr2,7.466,dft,jarvis_alex,,0.7866091709146904,156.66041666845527,331.7677917480469,5.5452127
ReZr3,8.957,dft,jarvis_alex,,0.8654639156226298,156.3057409068885,285.135986328125,4.05747
LaLuY2,4.589,dft,jarvis_alex,,0.7634999325585442,103.8255805004392,189.8212738037109,7.145996
H2MnNb2,4.412,dft,jarvis_alex,,0.54093223104196,262.9476703808007,488.2017517089844,3.1345315
NiPdTi2,5.796,dft,jarvis_alex,,0.6555144370406528,190.61954958773543,297.6783142089844,5.1157956
HLa2ScY,3.896,dft,jarvis_alex,,0.6499429749459126,130.55670287952842,259.4442749023437,5.572632
HfNb2Ta,15.942,dft,jarvis_alex,,1.4673004999369703,127.65405841380364,255.22218322753903,6.5531454
LuPdRhZr,3.999,dft,jarvis_alex,,0.6878821823963603,115.8386364032792,240.0793609619141,5.0169783
ReTaTi2,8.917,dft,jarvis_alex,,0.8460634338472461,161.4387418857327,310.263427734375,4.7465606
Nb2ReTi,8.611,dft,jarvis_alex,,0.760016823378235,196.3431970164429,360.2321472167969,6.7473683
MoTiVZn,2.442,dft,jarvis_alex,,0.4905855422740809,212.13312062646165,435.9739379882813,4.945622
Cr4Tc,12.028,dft,jarvis_alex,,0.7475416975709526,286.09076771469864,468.6734924316406,4.636394
HSnTiV2,8.115,dft,jarvis_alex,,0.853554678601554,143.83582196527937,409.8385314941406,5.676592
CuHfTi2,1.856,dft,jarvis_alex,,0.4833251199802441,171.44178833854843,302.38232421875,4.0165935
CuRuTi2,4.754,dft,jarvis_alex,,0.8537827203414063,84.13165198092442,421.2184753417969,4.612412
N2Re2,6.071,dft,jarvis_alex,,0.5467554589181447,348.65016172170584,508.5404968261719,2.2099295
Lu2ScZr,3.307,dft,jarvis_alex,,0.5984698397242625,141.69039947366133,241.79397583007807,6.7730136
HMoTi2Zn,3.386,dft,jarvis_alex,,0.5200484563722506,233.4852575095138,443.9847412109375,4.3424172
Hf2Mo2,5.584,dft,jarvis_alex,,0.7035720702445116,152.75737810139523,321.3222961425781,5.246654
NbOs2Zr,10.311,dft,jarvis_alex,,1.216831396442298,102.683059558048,361.6810302734375,3.044738
MgNbZr2,9.965,dft,jarvis_alex,,0.989170090178368,136.42352481182107,294.6248474121094,4.3232565
HfScTi,2.33,dft,jarvis_alex,,0.5192313550025085,161.74593287586663,307.5427551269531,4.1617246
CrMoRe,17.294,dft,jarvis_alex,,1.1179864637536223,197.31039465339427,399.3806762695313,2.8400033
La2ScY,5.202,dft,jarvis_alex,,0.8044591380647951,104.9650732420531,193.9701995849609,6.023465
La3Sc,7.248,dft,jarvis_alex,,1.0408921044212236,91.67394408328636,160.59767150878906,4.4695277
PdRhScZr,5.47,dft,jarvis_alex,,0.7850086868905481,115.90062590985002,268.9728088378906,5.362074
ReZr4,6.996,dft,jarvis_alex,,0.7602492306633664,159.67228577863898,252.14476013183597,5.9555745
Cu2KO4Y,0.0,dft,jarvis_alex,,0.1572901505063381,387.2240628943076,452.1248474121094,2.3479855
IrNbTa2,4.261,dft,jarvis_alex,,0.7242155602381525,108.09719504648588,341.9508972167969,2.7829173
ReTc2,15.224,dft,jarvis_alex,,1.0286167155390886,197.59688918702147,462.5287780761719,2.9438813
HLa3Sc,7.895,dft,jarvis_alex,,1.0007281185621,104.9715015695596,253.29107666015625,6.1431746
MgTi2Zr3,8.499,dft,jarvis_alex,,0.789053917132348,178.80114854314326,321.7016296386719,6.4652576
ReTi2W,8.086,dft,jarvis_alex,,0.780163768698097,173.45818199895115,332.4808654785156,5.8451552
MoTa4,4.939,dft,jarvis_alex,,0.6599602152094801,159.47856332028584,299.25128173828125,6.895851
Cr2OsRh,10.296,dft,jarvis_alex,,0.7908094559664842,215.42365655020507,419.6472473144531,4.475753
IrRuTc2,1.234,dft,jarvis_alex,,0.4046462382179626,271.41953308436706,504.9310302734375,2.143776
Mn2MoV,11.073,dft,jarvis_alex,,0.7449842924744469,265.40253158342983,522.611083984375,3.503571
HIrMo2Os,9.011,dft,jarvis_alex,,0.7693146009210862,198.8728559327031,413.9942626953125,3.2831614
CdPdZr2,5.478,dft,jarvis_alex,,0.7201967027737044,141.5675872901107,237.44895935058597,4.6478086
HNbZnZr2,8.7,dft,jarvis_alex,,0.9392054108995076,128.99057292360845,371.4381713867188,5.39041
NbSc3,6.181,dft,jarvis_alex,,0.6993277675423974,171.8849088416206,352.2710876464844,4.393653
Hf2TiZr,15.293,dft,jarvis_alex,,1.7650788770608568,99.18572952007706,262.1665344238281,6.890041
MoOs2Ru,7.889,dft,jarvis_alex,,0.710554928634493,211.59982226837943,454.5226135253906,3.1688628
ReW3,6.179,dft,jarvis_alex,,0.6701641838034947,192.3041680517655,371.3717651367188,2.7532384
LaLuZr,7.462,dft,jarvis_alex,,1.0264132561431225,96.53118114727673,210.7402801513672,4.818467
Re2RuTc,11.453,dft,jarvis_alex,,0.8611444589158495,202.53644554815,455.76025390625,4.040476
FOZr,2.726,dft,jarvis_alex,,0.4548134910378206,329.61071623278855,519.1944580078125,1.1445072
Sn2,8.494,dft,jarvis_alex,,1.4253020682377298,70.0162831187273,286.4777526855469,1.0627478
HfMo2Ta,5.28,dft,jarvis_alex,,0.6482851029605387,179.06992324489548,338.24639892578125,4.821824
MoTa3,4.391,dft,jarvis_alex,,0.6164654276968775,171.9572956858638,299.6650695800781,5.549908
NbTaV4,4.444,dft,jarvis_alex,,0.5799871987366817,209.7435627914938,263.6955871582031,11.867359
HNbOsRu2,7.297,dft,jarvis_alex,,0.6981246540663215,202.9379374344965,422.5103454589844,5.182121
CrRe,24.24,dft,jarvis_alex,,1.5809500978661577,179.4461621813911,394.6074523925781,2.248289
HRu3Tc,9.357,dft,jarvis_alex,,0.7264894543618133,236.47418046662625,491.4420776367188,4.157427
Nb2NiRh,6.315,dft,jarvis_alex,,0.6896059924666735,181.95687698925428,393.1969299316406,4.686911
TiZr,17.409,dft,jarvis_alex,,1.4218131147967532,145.041269897061,320.0435485839844,3.497679
ScZr3,12.042,dft,jarvis_alex,,1.0410946817230715,152.97913874198017,292.0470275878906,6.008836
ScY3,2.986,dft,jarvis_alex,,0.5782748129066879,142.61986300357236,244.0063934326172,6.870008
LaN2Nb,8.437,dft,jarvis_alex,,0.64596649885149,287.7648569188009,536.183349609375,0.8377691
MoNb2Ta,5.851,dft,jarvis_alex,,0.6839671158180236,171.67487701409803,286.0179138183594,4.3319564
CrTcW2,6.381,dft,jarvis_alex,,0.6284838982664169,236.53492405215496,391.9294738769531,3.2384248
B2N2Rh2Sr2,0.734,dft,jarvis_alex,,0.3750591216944783,253.70498237284207,353.560302734375,2.8607228
TcZr3,5.421,dft,jarvis_alex,,0.6559979814878998,178.29183713601373,266.5591125488281,3.8314323
MoNbTc2,11.413,dft,jarvis_alex,,0.8516962281676969,205.86157552364963,417.7181396484375,2.6907387
HIrMo2Ru,5.059,dft,jarvis_alex,,0.5841766780184753,232.9337895606341,438.280517578125,2.841122
Ti3Zr,15.076,dft,jarvis_alex,,1.0686430285586703,183.68185099909743,325.6780700683594,6.652025
MoRu,14.195,dft,jarvis_alex,,1.044291384183769,179.45552463236692,461.3449401855469,2.2771018
MoTcTi2,11.246,dft,jarvis_alex,,0.91272824595781,176.59038845998612,424.7812805175781,7.3769746
Mo2TcW,8.147,dft,jarvis_alex,,0.6957166381367049,230.1789593961872,409.2715148925781,3.1823485
Y2,2.32,dft,jarvis_alex,,0.5484702236430463,132.3856804516578,238.4954071044922,8.554981
H2ReRu2,3.232,dft,jarvis_alex,,0.5078324530009831,243.7934052858521,504.1943054199219,4.1606064
CdMg2N4Re,0.032,dft,jarvis_alex,,0.2644291167153489,270.4686377515389,426.95166015625,1.6948931
LaScY2,7.255,dft,jarvis_alex,,1.0568177836843315,89.17405024842628,208.7084808349609,8.148451
Os2RuTa,7.588,dft,jarvis_alex,,0.7595026232410867,173.8999444700801,392.1747131347656,4.2645855
HRu2Tc,8.285,dft,jarvis_alex,,0.6960877884594094,231.92561340804764,533.920654296875,2.4529557
NbZn2Zr3,6.077,dft,jarvis_alex,,0.721711663496705,156.3688575272329,321.8219909667969,5.9274883
CrHMo2Pt,4.593,dft,jarvis_alex,,0.5627166679890409,239.18338010712645,449.4882507324219,2.9898007
TcW2,15.754,dft,jarvis_alex,,1.3135402654757131,144.01819856258334,406.0429992675781,2.3085816
NbRhTi2,7.381,dft,jarvis_alex,,0.6724400816359122,227.222619842912,395.6642761230469,5.7999463
RuTc3,8.39,dft,jarvis_alex,,0.6889706343684955,243.0407267884716,512.310546875,3.718832
HIrMo2,6.898,dft,jarvis_alex,,0.6438492996504213,237.1000945720272,482.2568359375,2.6695762
CoHMo2Os,6.466,dft,jarvis_alex,,0.6485684170909819,218.16571336627587,461.2999572753906,3.5280812
MoNbTc2,11.855,dft,jarvis_alex,,0.8357164669663792,222.41599299578104,416.2807312011719,2.7404494
InNb5,3.848,dft,jarvis_alex,,0.5771370899194257,184.74219046553324,266.2065734863281,5.6167483
MoNbTa,2.449,dft,jarvis_alex,,0.4974400583542526,201.2399282364917,328.0016174316406,3.6769385
IrMoRuTc,7.546,dft,jarvis_alex,,0.684721971538188,222.11100813907052,474.9615783691406,4.0619435
LaN2Ta,4.426,dft,jarvis_alex,,0.5343780475392751,275.6821125799302,464.2484436035156,1.409608
Lu3Sc,1.739,dft,jarvis_alex,,0.5199225037352779,120.23044745842044,200.3075408935547,7.61598
HfNbTa2,13.113,dft,jarvis_alex,,1.3001988792474095,121.15066477938902,242.26271057128903,5.849475
TaV4Zr,12.43,dft,jarvis_alex,,1.179324897314392,128.9749500335745,217.48858642578125,11.342881
Sc2YZr,3.932,dft,jarvis_alex,,0.5947201019379287,171.928028697286,295.7243957519531,5.758153
LaOSc2Zr,4.711,dft,jarvis_alex,,0.6883162361218659,135.89853390169463,381.5097961425781,8.771664
H2MoW,14.355,dft,jarvis_alex,,0.9343928612189276,214.6289134147312,455.0541076660156,1.918402
HReRu3,7.764,dft,jarvis_alex,,0.696350253957137,217.5269478533077,465.4053649902344,3.7173283
H2NiTa2,6.934,dft,jarvis_alex,,0.7833022541900654,146.94330924000548,325.0517883300781,3.043402
Ru4,15.222,dft,jarvis_alex,,1.1186983221878375,172.93092339101227,542.65673828125,5.4476004
La2ScY,5.294,dft,jarvis_alex,,0.8142775440688008,104.16678583109172,193.3332977294922,6.160318
V4WZr,5.648,dft,jarvis_alex,,0.6419075199645613,196.46674387179127,249.0030212402344,11.582642
OTaTi3,5.477,dft,jarvis_alex,,0.7775140676877597,117.80813212624436,408.2754821777344,2.8000867
ReRuTc2,14.121,dft,jarvis_alex,,0.9621175599569824,204.52614397792712,484.1162414550781,4.404768
MoTiZr,12.442,dft,jarvis_alex,,1.1003315001850262,143.76112112286285,400.3811645507813,3.1732955
NbTaV,14.878,dft,jarvis_alex,,1.1493049390450316,161.58164720967935,279.5190734863281,5.1708517
NaO2Ti,23.27,dft,jarvis_alex,,1.299684985985249,213.1584414936288,593.8864135742188,2.1081998
IrReRu2,8.464,dft,jarvis_alex,,0.7379009074217548,207.43910893439448,459.8694152832031,3.2585979
NbTaZr,15.87,dft,jarvis_alex,,1.5098905779602916,122.73494400178237,248.8876495361328,4.9778757
Mo2TcW,14.674,dft,jarvis_alex,,0.971121553841808,209.246482037162,397.57525634765625,4.4780397
H3RhTa,1.592,dft,jarvis_alex,,0.4063829637216579,340.5736147435257,380.6227722167969,1.4098911
Hf2LiN4Nb,8.54,dft,jarvis_alex,,0.635467686680426,304.92021210955835,475.8762817382813,2.6187155
AlB2,2.124,dft,jarvis_alex,,0.3898047290541439,579.2181098428425,972.4552001953124,0.12828872
HNb2PdRh,3.738,dft,jarvis_alex,,0.532455909178222,235.7753538645883,394.451416015625,3.9022493
Os3W,5.862,dft,jarvis_alex,,0.6598185578315355,190.2658381920459,427.9078979492188,3.2437208
Sc2Zr2,3.976,dft,jarvis_alex,,0.5969483582545989,171.73534344215594,317.5411682128906,7.008059
Re2W2,17.173,dft,jarvis_alex,,1.738544826849335,114.66934243457126,377.2206115722656,3.5095031
Ru2TcW,9.012,dft,jarvis_alex,,0.7612905645630799,205.5782785723748,472.6408081054688,4.050742
NbRhTcTi,6.459,dft,jarvis_alex,,0.7392954241742008,156.61173352018375,385.04888916015625,2.9597793
HHgNbZr2,4.483,dft,jarvis_alex,,0.6201874976317954,171.7497120322118,320.239013671875,4.934274
LaSc,3.435,dft,jarvis_alex,,0.6463940852907555,117.34452795368308,215.5413818359375,2.62145
HHfSbTi2,6.975,dft,jarvis_alex,,0.8590705046300103,122.01855261801568,340.81170654296875,5.1581616
NbV3,21.164,dft,jarvis_alex,,1.384933135678902,181.2501080106013,309.0905456542969,8.967442
ReW2,10.725,dft,jarvis_alex,,0.9099555888917812,171.15038119448988,376.9967651367188,1.8350022
Nb2TaZr,17.618,dft,jarvis_alex,,1.5671886734366614,131.4176037478669,253.2634735107422,6.656235
Mo2ReW,6.969,dft,jarvis_alex,,0.6633690517552434,222.65416082182244,390.4619140625,2.991815
Sc3Y,3.524,dft,jarvis_alex,,0.5874588514601286,159.9203659534805,296.0713806152344,7.4023376
ScZr7,12.548,dft,jarvis_alex,,1.0918580475855475,148.2100771569912,279.2756652832031,11.559036
Cr2HNiOs,8.765,dft,jarvis_alex,,0.7000634444430258,242.0120795496729,452.8033752441406,3.9628804
Os2ReSi,3.796,dft,jarvis_alex,,0.5711742063245892,188.642497909724,416.09674072265625,2.0323138
LaScY2,7.064,dft,jarvis_alex,,1.0373634957248017,89.32948342796338,225.80506896972656,7.821214
GeHfRh,10.796,dft,jarvis_alex,,1.1428530229701044,118.54840310395866,320.5072937011719,3.1957793
HfSc2Zr,7.068,dft,jarvis_alex,,0.7621772628130066,160.40116701745265,286.96990966796875,5.829999
PTc3,8.016,dft,jarvis_alex,,0.6755846137954999,243.7426918441984,524.2618408203125,2.9445748
Sc2Y2,2.488,dft,jarvis_alex,,0.5401324500506026,149.70587131055822,277.0205993652344,7.435238
Nb2TaZr,20.074,dft,jarvis_alex,,2.155224518379764,108.72320629227276,255.60289001464844,7.989907
Mo2TcW,7.674,dft,jarvis_alex,,0.6870443680617612,223.73519284591103,414.2262268066406,2.4316971
Ru3W,4.869,dft,jarvis_alex,,0.5825731446738476,227.4202514718084,459.6074523925781,3.5669553
Ta2TcTi,8.511,dft,jarvis_alex,,0.7844089213430966,180.8437445865926,347.05780029296875,6.6235337
AuNb3,2.897,dft,jarvis_alex,,0.5306221743334986,185.6927921739844,287.1344909667969,3.1759303
HfMoTa2,7.182,dft,jarvis_alex,,0.8053953023474641,144.27969911997604,308.3753967285156,5.419664
IrMoRuV,12.031,dft,jarvis_alex,,0.9436123405339758,178.8298489768533,431.2973937988281,6.2447224
HRe2Tc,9.658,dft,jarvis_alex,,0.7522486727387339,224.1431456475956,428.7392578125,2.7577949
FeMoTi2,5.653,dft,jarvis_alex,,0.6131371090500116,224.9464086531049,459.8560791015625,4.8823376
CuNb2Ta,5.571,dft,jarvis_alex,,0.6878986485935177,161.29775826312468,299.1365661621094,4.5426874
HSbTaTi2,2.516,dft,jarvis_alex,,0.5075261179805121,190.46312532549425,349.5368957519531,5.0755343
Os2SiTc,5.111,dft,jarvis_alex,,0.6024331654084187,214.72009260483352,435.99261474609375,2.954152
MoNbTc2,11.795,dft,jarvis_alex,,0.8702371655753499,204.10003851251432,407.4794616699219,3.0831811
MgZr5,8.822,dft,jarvis_alex,,0.922509504790092,136.33533934987082,277.20318603515625,6.9692645
Nb2V4,4.783,dft,jarvis_alex,,0.5893450907566562,214.6292698976084,273.2289123535156,10.053648
RhZr5,8.898,dft,jarvis_alex,,0.9084820098648184,141.68219883756777,265.4934387207031,6.23676
Be2Nb2Ni,3.554,dft,jarvis_alex,,0.518554643367344,247.6741171343804,553.31591796875,4.2945952
Y3Zr,6.377,dft,jarvis_alex,,0.9621344398871744,90.98236373466614,251.48915100097656,6.329569
Os3V,11.475,dft,jarvis_alex,,0.882684949866318,193.0429893301308,437.2489318847656,4.002892
IrMo2Os,10.078,dft,jarvis_alex,,0.8111360374719508,200.36643445909,437.4753112792969,3.7262843
Ti3Zr,17.233,dft,jarvis_alex,,1.2494120728422229,168.48466018563062,323.5585632324219,7.2329164
H2P2Rh2Sr2,1.278,dft,jarvis_alex,,0.4189359907607025,231.93584589701183,368.48919677734375,4.7687573
HfNiZr2,4.434,dft,jarvis_alex,,0.6909112392324661,126.78360606173828,241.6053466796875,4.2417603
HNiRuV2,3.986,dft,jarvis_alex,,0.5233700020383022,268.23331875529755,496.5265808105469,3.7993286
HMgScZr2,3.87,dft,jarvis_alex,,0.5807262635353537,181.44223205417927,426.2275085449219,6.754815
AuZr5,6.88,dft,jarvis_alex,,0.8158832054241574,134.5377795163511,251.82888793945312,7.153745
HMo2PtV,7.74,dft,jarvis_alex,,0.7003585279768145,213.50161323714363,443.2516174316406,5.6443872
LiN4NbTi2,8.837,dft,jarvis_alex,,0.5837642788131956,408.4487158453802,762.1339721679688,2.3898118
IrRu3,5.909,dft,jarvis_alex,,0.6067261091588684,243.54141060252172,469.5876159667969,4.3580766
Hf2Ti,15.397,dft,jarvis_alex,,1.5031164391517993,120.24434744600106,263.1960144042969,4.8252444
NbTi2W,9.454,dft,jarvis_alex,,0.7705465181722758,209.4643430047301,380.16546630859375,5.3930297
HHfIrRu2,6.998,dft,jarvis_alex,,0.6739875430281078,212.6606125892987,397.9763793945313,5.8863287
IrNbZr2,7.826,dft,jarvis_alex,,0.8998481641751738,126.27577110723658,261.1137084960937,5.4817233
Re3Tc,10.457,dft,jarvis_alex,,0.8472609282932358,190.70508550904657,418.1872253417969,3.6116903
Sc2Zr2,7.053,dft,jarvis_alex,,0.7541943207917504,163.9505359779923,295.4963684082031,6.246566
LiN4TaTi2,8.392,dft,jarvis_alex,,0.5808640757756758,393.8591309284621,629.76171875,2.201736
La2Y2,7.27,dft,jarvis_alex,,1.0938446903578236,85.40743710825323,180.3666839599609,7.224823
CuLa2O4,0.002,dft,jarvis_alex,,0.2217510264107809,351.99786515370454,387.2676696777344,0.9910352
LaSc,4.667,dft,jarvis_alex,,0.7286411401648796,117.27992894943948,209.15826416015625,2.2586036
N2Na2Ta,0.117,dft,jarvis_alex,,0.3026090090951079,220.3704100955948,385.5396728515625,0.5473372
Bi2,0.026,dft,jarvis_alex,,0.2916684636368239,70.78285591459557,115.26700592041016,0.3025732
AgF6Sr,17.028,dft,jarvis_alex,,1.733994973968808,110.87798112192792,258.9105529785156,3.8936946
ScY7,2.785,dft,jarvis_alex,,0.5689902168083085,140.32515371210158,237.35177612304688,14.588815
BeTi2W,7.744,dft,jarvis_alex,,0.6973547177758241,215.99077625302564,458.12109375,4.8628087
Re2Tc2,11.791,dft,jarvis_alex,,0.910447184850068,187.28909925810044,446.3357543945313,2.649297
Hf2MoTc,6.876,dft,jarvis_alex,,0.7441420657951422,164.75889039276063,299.2948913574219,6.9420743
BeOsRu2,5.783,dft,jarvis_alex,,0.6464460154392497,197.177061188755,522.501708984375,3.9614244
Mo2RhRu,12.944,dft,jarvis_alex,,1.1288319542725245,143.7187872907817,460.17132568359375,3.8516498
LaScY,6.226,dft,jarvis_alex,,0.8586538248302688,110.06885741097214,204.3231964111328,4.907621
LaSc3,7.245,dft,jarvis_alex,,1.05255702527217,89.17372686734211,242.7836151123047,8.888467
LaY,5.085,dft,jarvis_alex,,0.8028016894446789,103.2708836434032,186.4376373291016,2.496643
HfNb2W,8.872,dft,jarvis_alex,,0.8684537233318114,153.19616653616905,293.2851867675781,5.4509254
MoNbOsW,9.304,dft,jarvis_alex,,0.8245009260430223,178.65995680193174,385.333984375,3.4135525
Sc2Y2,2.506,dft,jarvis_alex,,0.5363162322370142,154.76890942781392,271.7819519042969,6.9226174
ScZr3,12.342,dft,jarvis_alex,,1.1341590049783634,137.50284940281486,281.34991455078125,5.7095623
O2P2Rh2Y2,2.265,dft,jarvis_alex,,0.4846429973005188,206.79847004634203,429.1009826660156,5.0281262
TiZr3,13.828,dft,jarvis_alex,,1.1733039322802776,146.87693591390655,294.0152893066406,6.2534604
LuScY,2.735,dft,jarvis_alex,,0.5743764393078813,133.37216509118258,231.65919494628903,4.7283387
Hf2MgZr3,6.961,dft,jarvis_alex,,0.8389280641012742,128.63992708548307,262.2844543457031,7.1845455
CrMo2Tc,13.553,dft,jarvis_alex,,0.8560191303767406,242.51413141268503,428.9216613769531,4.1652613
MoRhTc2,8.009,dft,jarvis_alex,,0.7042086433029294,219.6082343709241,486.6345520019531,4.1933475
Co2Zr4,12.843,dft,jarvis_alex,,1.1992985477772704,131.72925987600613,206.12879943847656,8.0403185
IrRhTc2,0.711,dft,jarvis_alex,,0.3707111619048999,266.02937185251113,489.3971252441406,2.7027793
LaY,5.649,dft,jarvis_alex,,0.8632749513616021,99.12234831007488,181.3219757080078,3.3644152
LaY2,4.322,dft,jarvis_alex,,0.7201374498300894,112.01764937357568,192.79977416992188,4.23651
IrMoNbTa,8.786,dft,jarvis_alex,,0.8901032882441403,144.88288737643083,367.9811096191406,3.5681853
Hf2MnZr,9.211,dft,jarvis_alex,,0.9045819270944429,147.67990513392326,276.1953430175781,5.9075074
IrTc3,7.051,dft,jarvis_alex,,0.6466590024091609,241.59798064624047,475.9054260253906,3.0887582
NiTiZr2,8.748,dft,jarvis_alex,,0.9655159752024992,124.1775388292748,276.52166748046875,4.5795264
MoNbTiZn,2.641,dft,jarvis_alex,,0.5078704504060566,199.71156895303565,408.2104187011719,4.309401
Cr2Tc2,15.857,dft,jarvis_alex,,0.9791309622550768,221.5733094550783,480.6598205566406,2.7867317
HOsRu2,2.808,dft,jarvis_alex,,0.4760122375566402,276.6209750028714,509.83013916015625,4.390922
